Tipo Registrante,Gruppo Sconto,Cod.,Denominazione,Indirizzo,Cap,Città,Prov.,Regione,Nazione,Partita Iva,Codice fiscale,Elenco dest.,Nome Azienda,Extra 2,Note,Num. listino,Sconti,Banca,Pagamento,Fatt. con Iva,Rif. Persona,Desc. Tel. 1,Tel. 1,Desc. Tel. 2,Tel. 2,Desc. Tel. 3,Tel. 3,Cell,Fax,e-mail,Home page,Login web,Conto reg.,Note doc.
Privato,B,PAZ00542,Pagano Fabio,"Via Nazionale, 9",00121,Roma,RM,Lazio,Italia,,PGNFBA70H01H501,,,,,,,Banca Intesa Sanpaolo,Contanti,Sì,Fabio Pagano,Casa,0847879089,,,,,3016484312,,fabio.pagano19@libero.it,,,,
Azienda,C,PAZ04351,Moretti Carlo,"Via Napoli, 173",20121,Milano,MI,Lombardia,Italia,,MRTCRL54T13F205,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Carlo Moretti,Casa,0281461588,,,,,3999070548,,carlo.moretti83@libero.it,,,,
Privato,,EXT12807,Russo Fabio,"Via Marconi, 48",20125,Milano,MI,Lombardia,Italia,,RSSFBA41E22F205,,,,,,,Poste Italiane - BancoPosta,Carta di credito,Sì,Fabio Russo,Casa,0174234856,,,,,3797802965,,fabio.russo15@gmail.com,,,,
Privato,A,PAZ06631,Sorrentino Giovanna,"Via Mazzini, 6",80132,Napoli,NA,Campania,Italia,,SRRGNN99T49F839,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Giovanna Sorrentino,Casa,0608343838,,,,,3510844052,,giovanna.sorrentino34@libero.it,,,,
Privato,,PAZ06705,Orlando Giulia,"Via Roma, 120",84125,Salerno,SA,Campania,Italia,,RLNGLI99H61H703,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,Sì,Giulia Orlando,Casa,0445824024,,,,,3724278023,,giulia.orlando79@gmail.com,,,,
Azienda,C,PAZ06978,Romano Federico,"Via Milano, 99",84122,Salerno,SA,Campania,Italia,,RMNFRC84R01H703,,,,,,,Banco BPM,Assegno bancario,No,Federico Romano,Casa,0712945174,,,,,3028437226,,federico.romano89@libero.it,,,,
Privato,,PAZ07399,Greco Simone,"Via Leopardi, 125",80123,Napoli,NA,Campania,Italia,,GRCSMN83M16F839,,,,,,,Banca MPS,Assegno bancario,Sì,Simone Greco,Casa,0822036882,,,,,3941288323,,simone.greco46@libero.it,,,,
Azienda,B,EXT11119,Marino Angelo,"Via Verdi, 177",20125,Milano,MI,Lombardia,Italia,,MRNNGL07R27F205,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Angelo Marino,Casa,0543349563,,,,,3827872643,,angelo.marino4@libero.it,,,,
Professionista,A,EXT12665,Giordano Giuseppe,"Viale Europa, 108",00100,Roma,RM,Lazio,Italia,,GRDGPP92M07H501,,,,,,,UniCredit,Bonifico bancario 30gg,No,Giuseppe Giordano,Casa,0561416149,,,,,3027660902,,giuseppe.giordano35@libero.it,,,,
Privato,B,PAZ05304,Bruno Cristina,"Via Garibaldi, 48",80123,Napoli,NA,Campania,Italia,,BRNCST08H53F839,,,,,,,BPER Banca,RID bancario,Sì,Cristina Bruno,Casa,0844968529,,,,,3522587331,,cristina.bruno57@libero.it,,,,
Privato,,PAZ02312,Fabbri Sofia,"Corso Vittorio Emanuele, 1",00118,Roma,RM,Lazio,Italia,,FBBSFO03P58H501,,,,,,,Banco BPM,Carta di credito,No,Sofia Fabbri,Casa,0897633006,,,,,3235082955,,sofia.fabbri59@gmail.com,,,,
Privato,A,PAZ07040,Pagano Ilaria,"Via Dante, 162",84124,Salerno,SA,Campania,Italia,,PGNLRI71R63H703,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Ilaria Pagano,Casa,0794649636,,,,,3034829155,,ilaria.pagano25@gmail.com,,,,
Privato,B,PAZ01889,Silvestri Gianluca,"Via Cavour, 98",80123,Napoli,NA,Campania,Italia,,SLVGLC69H25F839,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,Sì,Gianluca Silvestri,Casa,0441702573,,,,,3381714075,,gianluca.silvestri14@gmail.com,,,,
Azienda,,PAZ08991,Serra Nicola,"Corso Umberto I, 142",00100,Roma,RM,Lazio,Italia,,SRRNCL99D27H501,,,,,,,Banca Intesa Sanpaolo,Bonifico bancario 30gg,No,Nicola Serra,Casa,0684475692,,,,,3571358928,,nicola.serra40@libero.it,,,,
Privato,C,PAZ00169,Villa Giuseppe,"Via Garibaldi, 106",00100,Roma,RM,Lazio,Italia,,VLLGPP89R01H501,,,,,,,Banco BPM,Assegno bancario,Sì,Giuseppe Villa,Casa,0752568157,,,,,3647345175,,giuseppe.villa71@gmail.com,,,,
Professionista,A,PAZ01795,Barbieri Sara,"Via della Repubblica, 100",10123,Torino,TO,Piemonte,Italia,,BRBSRA65H66L219,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,No,Sara Barbieri,Casa,0118540892,,,,,3626030446,,sara.barbieri87@gmail.com,,,,
Professionista,C,PAZ03975,Santoro Filippo,"Via Marconi, 92",84124,Salerno,SA,Campania,Italia,,SNTFPP82C24H703,,,,,,,BPER Banca,RID bancario,No,Filippo Santoro,Casa,0611472257,,,,,3344282137,,filippo.santoro62@libero.it,,,,
Privato,B,PAZ06820,Costa Teresa,"Via Dante, 74",00141,Roma,RM,Lazio,Italia,,CSTTRS87A47H501,,,,,,,Banca MPS,Contanti,Sì,Teresa Costa,Casa,0407974473,,,,,3268275848,,teresa.costa63@libero.it,,,,
Professionista,,PAZ07826,Fabbri Marco,"Via Tasso, 9",00141,Roma,RM,Lazio,Italia,,FBBMRC85D18H501,,,,,,,UniCredit,Carta di credito,Sì,Marco Fabbri,Casa,0141108121,,,,,3136192053,,marco.fabbri36@gmail.com,,,,
Professionista,,EXT11809,Sartori Angelo,"Via Mazzini, 199",10122,Torino,TO,Piemonte,Italia,,SRTNGL68P04L219,,,,,,,Banco BPM,Bonifico bancario 30gg,Sì,Angelo Sartori,Casa,0347619932,,,,,3787864446,,angelo.sartori41@libero.it,,,,
Privato,C,PAZ01039,Leone Pietro,"Corso Italia, 116",20123,Milano,MI,Lombardia,Italia,,LNEPTR90L25F205,,,,,,,Poste Italiane - BancoPosta,RID bancario,No,Pietro Leone,Casa,0787828745,,,,,3926601538,,pietro.leone77@gmail.com,,,,
Azienda,,PAZ02848,Carbone Giuseppe,"Via della Libertà, 46",20124,Milano,MI,Lombardia,Italia,,CRBGPP67M17F205,,,,,,,Banco BPM,PayPal,No,Giuseppe Carbone,Casa,0706202726,,,,,3758952763,,giuseppe.carbone80@libero.it,,,,
Privato,B,PAZ03371,Longo Massimo,"Via Leopardi, 128",84122,Salerno,SA,Campania,Italia,,LNGMSM70M28H703,,,,,,,Banca Mediolanum,PayPal,No,Massimo Longo,Casa,0895809212,,,,,3937705462,,massimo.longo98@libero.it,,,,
Privato,A,PAZ08829,Ricci Martina,"Piazza del Comune, 105",00118,Roma,RM,Lazio,Italia,,RCCMTN42P52H501,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Martina Ricci,Casa,0135419126,,,,,3049297815,,martina.ricci2@gmail.com,,,,
Privato,A,EXT10349,Villa Giovanna,"Via Roma, 192",84125,Salerno,SA,Campania,Italia,,VLLGNN57P66H703,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Giovanna Villa,Casa,0833608127,,,,,3633813857,,giovanna.villa8@gmail.com,,,,
Azienda,B,PAZ08797,Esposito Giulia,"Corso Umberto I, 31",84125,Salerno,SA,Campania,Italia,,SPSGLI95H49H703,,,,,,,Banco BPM,PayPal,No,Giulia Esposito,Casa,0431133213,,,,,3197306622,,giulia.esposito94@libero.it,,,,
Privato,A,PAZ00764,Conti Alessandra,"Via Leopardi, 157",20122,Milano,MI,Lombardia,Italia,,CNTLSN68H60F205,,,,,,,Banca MPS,Bonifico bancario 30gg,No,Alessandra Conti,Casa,0469524932,,,,,3173258146,,alessandra.conti14@libero.it,,,,
Professionista,B,PAZ01593,Ferrari Angelo,"Via Roma, 14",00100,Roma,RM,Lazio,Italia,,FRRNGL60B16H501,,,,,,,Poste Italiane - BancoPosta,PayPal,Sì,Angelo Ferrari,Casa,0259058535,,,,,3549245873,,angelo.ferrari76@gmail.com,,,,
Privato,A,EXT14232,Pellegrini Concetta,"Via Tasso, 101",00118,Roma,RM,Lazio,Italia,,PLLCCT45C67H501,,,,,,,Banca MPS,Bonifico bancario 30gg,No,Concetta Pellegrini,Casa,0422444283,,,,,3889097762,,concetta.pellegrini42@libero.it,,,,
Professionista,,PAZ05872,Messina Silvia,"Via Verdi, 85",10122,Torino,TO,Piemonte,Italia,,MSSSLV52E42L219,,,,,,,Banca Mediolanum,RID bancario,Sì,Silvia Messina,Casa,0388630385,,,,,3399683863,,silvia.messina16@libero.it,,,,
Privato,,PAZ09940,Cattaneo Salvatore,"Corso Italia, 180",00118,Roma,RM,Lazio,Italia,,CTTSVT00R24H501,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,No,Salvatore Cattaneo,Casa,0979090974,,,,,3072470406,,salvatore.cattaneo66@gmail.com,,,,
Privato,,PAZ05169,Pellegrini Silvia,"Via Roma, 89",84123,Salerno,SA,Campania,Italia,,PLLSLV40D42H703,,,,,,,BPER Banca,PayPal,No,Silvia Pellegrini,Casa,0567072776,,,,,3841453685,,silvia.pellegrini86@gmail.com,,,,
Azienda,,EXT10909,Martinelli Alessandra,"Corso Italia, 22",10123,Torino,TO,Piemonte,Italia,,MRTLSN41H58L219,,,,,,,Banca Mediolanum,Carta di credito,No,Alessandra Martinelli,Casa,0722659482,,,,,3050976390,,alessandra.martinelli27@libero.it,,,,
Azienda,,PAZ04122,Costa Roberta,"Via Roma, 99",80121,Napoli,NA,Campania,Italia,,CSTRRT01B67F839,,,,,,,BPER Banca,RID bancario,Sì,Roberta Costa,Casa,0204844878,,,,,3093028509,,roberta.costa14@libero.it,,,,
Azienda,A,EXT12948,Longo Riccardo,"Viale Europa, 41",00121,Roma,RM,Lazio,Italia,,LNGRCR95T07H501,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,Sì,Riccardo Longo,Casa,0923314859,,,,,3641433707,,riccardo.longo91@libero.it,,,,
Privato,C,EXT14482,Grassi Giulia,"Via Roma, 55",00100,Roma,RM,Lazio,Italia,,GRSGLI81P64H501,,,,,,,Banca MPS,Carta di credito,No,Giulia Grassi,Casa,0889975735,,,,,3046834084,,giulia.grassi56@libero.it,,,,
Privato,C,PAZ00149,Longo Cinzia,"Via Dante, 72",20121,Milano,MI,Lombardia,Italia,,LNGCNZ90T66F205,,,,,,,UniCredit,PayPal,No,Cinzia Longo,Casa,0642117419,,,,,3199577245,,cinzia.longo87@gmail.com,,,,
Privato,A,EXT11736,Martini Paolo,"Via Nazionale, 185",20122,Milano,MI,Lombardia,Italia,,MRTPLA56R19F205,,,,,,,BPER Banca,Contanti,No,Paolo Martini,Casa,0262595818,,,,,3581242573,,paolo.martini47@libero.it,,,,
Privato,B,PAZ00387,Santoro Michela,"Via Cavour, 161",84121,Salerno,SA,Campania,Italia,,SNTMHL68T66H703,,,,,,,Banco BPM,PayPal,No,Michela Santoro,Casa,0363266584,,,,,3227781115,,michela.santoro80@gmail.com,,,,
Privato,,PAZ03946,Greco Simone,"Via Garibaldi, 46",84122,Salerno,SA,Campania,Italia,,GRCSMN48A14H703,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,Sì,Simone Greco,Casa,0842280426,,,,,3871912628,,simone.greco11@libero.it,,,,
Azienda,A,EXT13402,Fontana Claudia,"Via Verdi, 9",20121,Milano,MI,Lombardia,Italia,,FNTCLD49L53F205,,,,,,,BPER Banca,Contanti,No,Claudia Fontana,Casa,0769678223,,,,,3434352903,,claudia.fontana48@libero.it,,,,
Privato,B,PAZ01373,Ferrari Enrico,"Via Milano, 192",80121,Napoli,NA,Campania,Italia,,FRRNRC01L06F839,,,,,,,Banca MPS,Contanti,Sì,Enrico Ferrari,Casa,0663363065,,,,,3765976404,,enrico.ferrari40@libero.it,,,,
Azienda,C,PAZ02884,Sorrentino Simona,"Via XX Settembre, 13",84121,Salerno,SA,Campania,Italia,,SRRSMN90E61H703,,,,,,,Banca MPS,Contanti,No,Simona Sorrentino,Casa,0356588560,,,,,3489131269,,simona.sorrentino32@libero.it,,,,
Privato,B,EXT14042,Fontana Claudio,"Via Matteotti, 110",80132,Napoli,NA,Campania,Italia,,FNTCLD03B09F839,,,,,,,Banco BPM,Assegno bancario,No,Claudio Fontana,Casa,0483164823,,,,,3548463685,,claudio.fontana94@libero.it,,,,
Azienda,B,EXT11360,Ferretti Federica,"Via della Repubblica, 167",00141,Roma,RM,Lazio,Italia,,FRRFRC59T55H501,,,,,,,Banco BPM,Contanti,Sì,Federica Ferretti,Casa,0832162534,,,,,3297161035,,federica.ferretti19@libero.it,,,,
Privato,,PAZ02991,Serra Lorenzo,"Via Matteotti, 1",80131,Napoli,NA,Campania,Italia,,SRRLNZ54L10F839,,,,,,,Banco BPM,PayPal,Sì,Lorenzo Serra,Casa,0699694163,,,,,3163766821,,lorenzo.serra16@gmail.com,,,,
Privato,B,EXT11595,Santoro Salvatore,"Via Garibaldi, 151",00141,Roma,RM,Lazio,Italia,,SNTSVT97P18H501,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Salvatore Santoro,Casa,0197452505,,,,,3931833950,,salvatore.santoro71@libero.it,,,,
Privato,B,EXT10581,Piccolo Matteo,"Via della Repubblica, 92",00136,Roma,RM,Lazio,Italia,,PCCMTT86E07H501,,,,,,,Banco BPM,Carta di credito,Sì,Matteo Piccolo,Casa,0844059689,,,,,3875683080,,matteo.piccolo39@gmail.com,,,,
Privato,C,EXT14867,Martini Angelo,"Corso Vittorio Emanuele, 171",84121,Salerno,SA,Campania,Italia,,MRTNGL80C13H703,,,,,,,UniCredit,Carta di credito,Sì,Angelo Martini,Casa,0698110964,,,,,3545863041,,angelo.martini95@libero.it,,,,
Privato,,EXT14424,Bianchi Nicola,"Via Tasso, 46",20121,Milano,MI,Lombardia,Italia,,BNCNCL70E13F205,,,,,,,UniCredit,Assegno bancario,Sì,Nicola Bianchi,Casa,0601321724,,,,,3624040741,,nicola.bianchi31@gmail.com,,,,
Privato,B,PAZ03024,Marini Paolo,"Via Napoli, 145",00141,Roma,RM,Lazio,Italia,,MRNPLA67S18H501,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Paolo Marini,Casa,0241910824,,,,,3492559707,,paolo.marini84@libero.it,,,,
Privato,A,PAZ00251,Longo Claudio,"Via IV Novembre, 29",80132,Napoli,NA,Campania,Italia,,LNGCLD00A18F839,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Claudio Longo,Casa,0479921212,,,,,3798704579,,claudio.longo66@gmail.com,,,,
Privato,B,EXT12146,Costa Lorenzo,"Via Leopardi, 178",00100,Roma,RM,Lazio,Italia,,CSTLNZ60A23H501,,,,,,,Banca Mediolanum,PayPal,Sì,Lorenzo Costa,Casa,0587971582,,,,,3138443692,,lorenzo.costa79@libero.it,,,,
Privato,C,EXT11438,Fabbri Marco,"Via Dante, 199",20124,Milano,MI,Lombardia,Italia,,FBBMRC66S14F205,,,,,,,Poste Italiane - BancoPosta,PayPal,No,Marco Fabbri,Casa,0457885144,,,,,3498878149,,marco.fabbri22@libero.it,,,,
Privato,,PAZ07092,Greco Daniele,"Via Tasso, 154",00121,Roma,RM,Lazio,Italia,,GRCDNL63T01H501,,,,,,,Banca Mediolanum,RID bancario,Sì,Daniele Greco,Casa,0842857924,,,,,3449388905,,daniele.greco97@gmail.com,,,,
Azienda,A,PAZ00932,Carbone Maria,"Via della Libertà, 138",20122,Milano,MI,Lombardia,Italia,,CRBMRA82H49F205,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,No,Maria Carbone,Casa,0994283120,,,,,3765267344,,maria.carbone92@gmail.com,,,,
Privato,,PAZ07217,Greco Vincenzo,"Via Roma, 107",10121,Torino,TO,Piemonte,Italia,,GRCVCN00M27L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,Sì,Vincenzo Greco,Casa,0864102105,,,,,3129664586,,vincenzo.greco16@libero.it,,,,
Azienda,B,PAZ03684,Fabbri Elena,"Via Mazzini, 1",10123,Torino,TO,Piemonte,Italia,,FBBLNE69L67L219,,,,,,,Banca Mediolanum,Carta di credito,No,Elena Fabbri,Casa,0147729021,,,,,3422260465,,elena.fabbri74@gmail.com,,,,
Privato,C,PAZ08368,Silvestri Sergio,"Via Leopardi, 138",80132,Napoli,NA,Campania,Italia,,SLVSRG70D26F839,,,,,,,Banca Mediolanum,Assegno bancario,Sì,Sergio Silvestri,Casa,0313058755,,,,,3290504528,,sergio.silvestri35@libero.it,,,,
Professionista,A,PAZ09478,Caruso Ilaria,"Via XX Settembre, 114",00121,Roma,RM,Lazio,Italia,,CRSLRI04H59H501,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,No,Ilaria Caruso,Casa,0427290848,,,,,3918743580,,ilaria.caruso91@libero.it,,,,
Privato,A,EXT11724,Testa Silvia,"Via Mazzini, 161",80132,Napoli,NA,Campania,Italia,,TSTSLV65C46F839,,,,,,,Banca Mediolanum,Carta di credito,No,Silvia Testa,Casa,0288434083,,,,,3792945783,,silvia.testa90@gmail.com,,,,
Privato,A,PAZ07417,Conti Marco,"Via Garibaldi, 20",84121,Salerno,SA,Campania,Italia,,CNTMRC84S16H703,,,,,,,UniCredit,Contanti,Sì,Marco Conti,Casa,0815189409,,,,,3027058736,,marco.conti10@gmail.com,,,,
Privato,C,EXT10504,Lombardi Valentina,"Via Tasso, 144",84122,Salerno,SA,Campania,Italia,,LMBVNT94C53H703,,,,,,,Banca Mediolanum,RID bancario,No,Valentina Lombardi,Casa,0913513748,,,,,3756545943,,valentina.lombardi47@gmail.com,,,,
Privato,C,EXT10515,Monti Luca,"Via XX Settembre, 109",10125,Torino,TO,Piemonte,Italia,,MNTLCU98B03L219,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,Sì,Luca Monti,Casa,0864920425,,,,,3038421723,,luca.monti88@libero.it,,,,
Professionista,A,EXT13509,Vitale Marco,"Corso Italia, 158",80122,Napoli,NA,Campania,Italia,,VTLMRC36H21F839,,,,,,,BPER Banca,Assegno bancario,No,Marco Vitale,Casa,0868643525,,,,,3161672321,,marco.vitale58@gmail.com,,,,
Privato,,PAZ07172,Bianchi Michela,"Via Garibaldi, 89",80123,Napoli,NA,Campania,Italia,,BNCMHL97S68F839,,,,,,,BPER Banca,PayPal,Sì,Michela Bianchi,Casa,0404397769,,,,,3797175312,,michela.bianchi33@libero.it,,,,
Azienda,A,PAZ03328,Barbieri Matteo,"Via Nazionale, 41",20124,Milano,MI,Lombardia,Italia,,BRBMTT08A23F205,,,,,,,BPER Banca,Carta di credito,Sì,Matteo Barbieri,Casa,0972301335,,,,,3113935248,,matteo.barbieri70@gmail.com,,,,
Privato,,PAZ05023,Colombo Valentina,"Via Marconi, 86",20121,Milano,MI,Lombardia,Italia,,CLMVNT04D62F205,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Valentina Colombo,Casa,0302623708,,,,,3711189585,,valentina.colombo40@gmail.com,,,,
Azienda,C,PAZ02214,Grassi Federica,"Via Roma, 131",84123,Salerno,SA,Campania,Italia,,GRSFRC04S50H703,,,,,,,Banca MPS,RID bancario,Sì,Federica Grassi,Casa,0314301815,,,,,3477080033,,federica.grassi96@libero.it,,,,
Privato,,PAZ02216,Palumbo Giuseppe,"Via Roma, 177",00118,Roma,RM,Lazio,Italia,,PLMGPP88L21H501,,,,,,,Banca MPS,RID bancario,No,Giuseppe Palumbo,Casa,0128878432,,,,,3597610692,,giuseppe.palumbo93@libero.it,,,,
Azienda,A,EXT14795,Russo Paola,"Via Tasso, 99",00121,Roma,RM,Lazio,Italia,,RSSPLA50M58H501,,,,,,,Banco BPM,Contanti,No,Paola Russo,Casa,0351320568,,,,,3370018577,,paola.russo88@gmail.com,,,,
Privato,,PAZ02859,Carbone Mario,"Via della Libertà, 173",80122,Napoli,NA,Campania,Italia,,CRBMRA71M02F839,,,,,,,Banco BPM,Contanti,Sì,Mario Carbone,Casa,0378610486,,,,,3175671193,,mario.carbone59@libero.it,,,,
Azienda,,PAZ04024,Longo Salvatore,"Corso Umberto I, 93",00100,Roma,RM,Lazio,Italia,,LNGSVT90R12H501,,,,,,,Banca Intesa Sanpaolo,PayPal,No,Salvatore Longo,Casa,0785417877,,,,,3937936488,,salvatore.longo75@gmail.com,,,,
Privato,B,PAZ02760,Esposito Alberto,"Corso Umberto I, 166",20121,Milano,MI,Lombardia,Italia,,SPSLRT81A14F205,,,,,,,Poste Italiane - BancoPosta,Contanti,Sì,Alberto Esposito,Casa,0196472798,,,,,3567135090,,alberto.esposito73@gmail.com,,,,
Privato,A,PAZ03290,Carbone Filippo,"Via Napoli, 116",20121,Milano,MI,Lombardia,Italia,,CRBFPP95R15F205,,,,,,,UniCredit,Assegno bancario,No,Filippo Carbone,Casa,0849536466,,,,,3222955998,,filippo.carbone70@libero.it,,,,
Privato,B,EXT10043,Serra Paolo,"Via Milano, 193",20123,Milano,MI,Lombardia,Italia,,SRRPLA02D07F205,,,,,,,Banco BPM,Assegno bancario,No,Paolo Serra,Casa,0309522632,,,,,3519085139,,paolo.serra86@libero.it,,,,
Privato,A,PAZ02626,Ferrari Lorenza,"Piazza del Comune, 179",00136,Roma,RM,Lazio,Italia,,FRRLNZ56L57H501,,,,,,,Banca Intesa Sanpaolo,Contanti,No,Lorenza Ferrari,Casa,0893394031,,,,,3990696108,,lorenza.ferrari98@gmail.com,,,,
Privato,C,PAZ04609,Serra Luca,"Via Matteotti, 105",00121,Roma,RM,Lazio,Italia,,SRRLCU67M16H501,,,,,,,UniCredit,RID bancario,Sì,Luca Serra,Casa,0131103473,,,,,3343475951,,luca.serra74@gmail.com,,,,
Privato,C,EXT13283,Orlando Francesco,"Via Nazionale, 24",84123,Salerno,SA,Campania,Italia,,RLNFNC41P17H703,,,,,,,BPER Banca,Bonifico bancario 30gg,No,Francesco Orlando,Casa,0344989007,,,,,3170242668,,francesco.orlando3@libero.it,,,,
Privato,B,EXT12472,Ferretti Claudia,"Via Roma, 138",20124,Milano,MI,Lombardia,Italia,,FRRCLD45A48F205,,,,,,,Banca Mediolanum,RID bancario,Sì,Claudia Ferretti,Casa,0507101421,,,,,3837359259,,claudia.ferretti97@gmail.com,,,,
Privato,,EXT11739,Cattaneo Bruno,"Via Milano, 8",00118,Roma,RM,Lazio,Italia,,CTTBRN97H08H501,,,,,,,Poste Italiane - BancoPosta,Carta di credito,Sì,Bruno Cattaneo,Casa,0859433690,,,,,3380633815,,bruno.cattaneo13@gmail.com,,,,
Privato,B,PAZ06661,Bianchi Angela,"Via Mazzini, 124",00136,Roma,RM,Lazio,Italia,,BNCNGL95S50H501,,,,,,,Banca Intesa Sanpaolo,PayPal,Sì,Angela Bianchi,Casa,0779220470,,,,,3975929705,,angela.bianchi28@gmail.com,,,,
Privato,B,EXT13939,Molinari Luca,"Via Verdi, 110",20123,Milano,MI,Lombardia,Italia,,MLNLCU67P26F205,,,,,,,Banca Intesa Sanpaolo,PayPal,Sì,Luca Molinari,Casa,0183308729,,,,,3056523087,,luca.molinari28@libero.it,,,,
Privato,B,PAZ07359,Romano Alberto,"Via Milano, 26",80122,Napoli,NA,Campania,Italia,,RMNLRT63T16F839,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,No,Alberto Romano,Casa,0231556869,,,,,3327976715,,alberto.romano38@libero.it,,,,
Privato,A,PAZ03204,Ricci Federico,"Via Roma, 82",10123,Torino,TO,Piemonte,Italia,,RCCFRC57R17L219,,,,,,,Banco BPM,Contanti,Sì,Federico Ricci,Casa,0897078935,,,,,3215446839,,federico.ricci44@gmail.com,,,,
Privato,A,EXT11752,Bianchi Martina,"Via IV Novembre, 160",80132,Napoli,NA,Campania,Italia,,BNCMTN39P53F839,,,,,,,Banca Mediolanum,PayPal,Sì,Martina Bianchi,Casa,0357116507,,,,,3683567554,,martina.bianchi38@libero.it,,,,
Privato,C,PAZ06126,De Angelis Carmela,"Via Milano, 33",20125,Milano,MI,Lombardia,Italia,,DNGCML64A67F205,,,,,,,Banca Intesa Sanpaolo,Carta di credito,Sì,Carmela De Angelis,Casa,0767686714,,,,,3773230938,,carmela.deangelis77@gmail.com,,,,
