person_id,tax_code,first_name,last_name,birth_year,birth_month,birth_day,sex,city,zip,province,region,job,education,marital_status,phone,email,annual_income_k,income_bracket
465,PGNCNZ68L42L219,Cinzia,Pagano,1968,7,2,F,Torino,10124,TO,Piemonte,Dirigente,Laurea_Magistrale,Coniugato_a,0877108056,cinzia.pagano54@gmail.com,73,>50k
4129,NPLLRI02E49H501,Ilaria,Napolitano,2002,5,9,F,Roma,00121,RM,Lazio,Operaio,Laurea_Triennale,Celibe_Nubile,0891768197,ilaria.napolitano48@libero.it,28,15k-30k
4828,RCCMLE49T08H703,Emilio,Ricci,1949,12,8,M,Salerno,84122,SA,Campania,Pensionato,Laurea_Triennale,Divorziato_a,0615860628,emilio.ricci91@libero.it,32,30k-50k
3504,CSTCLD74S04H501,Claudio,Costa,1974,11,4,M,Roma,00118,RM,Lazio,Dirigente,Laurea_Magistrale,Coniugato_a,0873469657,claudio.costa64@gmail.com,33,30k-50k
6766,PGNCLD64P58F205,Claudia,Pagano,1964,9,18,F,Milano,20122,MI,Lombardia,Pensionato,Licenza_Media,Separato_a,0886460239,claudia.pagano56@libero.it,16,15k-30k
2778,FRRVNT99H49H501,Valentina,Ferrara,1999,6,9,F,Roma,00100,RM,Lazio,Disoccupato,Licenza_Media,Coniugato_a,0964550423,valentina.ferrara81@libero.it,13,<15k
3984,BRBRRT03B41F205,Roberta,Barbieri,2003,2,1,F,Milano,20123,MI,Lombardia,Disoccupato,Licenza_Media,Celibe_Nubile,0314665149,roberta.barbieri82@gmail.com,22,15k-30k
5239,RSSCCT69D47L219,Concetta,Russo,1969,4,7,F,Torino,10121,TO,Piemonte,Dirigente,Laurea_Triennale,Coniugato_a,0905548125,concetta.russo81@libero.it,56,>50k
576,BRNCRL98R24F839,Carlo,Bruno,1998,10,24,M,Napoli,80132,NA,Campania,Disoccupato,Diploma,Coniugato_a,0214191237,carlo.bruno48@gmail.com,12,<15k
4466,LMBGPP78T04H703,Giuseppe,Lombardi,1978,12,4,M,Salerno,84124,SA,Campania,Disoccupato,Licenza_Media,Separato_a,0664040389,giuseppe.lombardi1@libero.it,14,<15k
7141,LNGRRT98B05F839,Roberto,Longo,1998,2,5,M,Napoli,80131,NA,Campania,Operaio,Laurea_Triennale,Celibe_Nubile,0934115710,roberto.longo12@gmail.com,28,15k-30k
6636,BRNLRI94P67F205,Ilaria,Bruno,1994,9,27,F,Milano,20121,MI,Lombardia,Studente,Diploma,Coniugato_a,0169676098,ilaria.bruno83@gmail.com,12,<15k
3014,MRTDNL61P09H501,Daniele,Martini,1961,9,9,M,Roma,00141,RM,Lazio,Operaio,Licenza_Media,Vedovo_a,0425013988,daniele.martini42@gmail.com,116,>50k
3246,MRNRRT81D50F839,Roberta,Marino,1981,4,10,F,Napoli,80122,NA,Campania,Dirigente,Laurea_Magistrale,Coniugato_a,0327088717,roberta.marino83@libero.it,59,>50k
5502,BRBCRL66M14L219,Carlo,Barbieri,1966,8,14,M,Torino,10121,TO,Piemonte,Dirigente,Laurea_Magistrale,Separato_a,0426634746,carlo.barbieri51@gmail.com,118,>50k
7173,FNTLCU69E03L219,Luca,Fontana,1969,5,3,M,Torino,10125,TO,Piemonte,Pensionato,Licenza_Media,Separato_a,0577318958,luca.fontana58@libero.it,8,<15k
4509,MSSLCU97B41H703,Lucia,Messina,1997,2,1,F,Salerno,84121,SA,Campania,Operaio,Diploma,Separato_a,0794855481,lucia.messina34@gmail.com,22,15k-30k
3532,MTAMLE86R05F205,Emilio,Amato,1986,10,5,M,Milano,20121,MI,Lombardia,Dirigente,Laurea_Magistrale,Separato_a,0847865467,emilio.amato80@gmail.com,118,>50k
1858,BNCPLA99C56H703,Paola,Bianchi,1999,3,16,F,Salerno,84122,SA,Campania,Studente,Laurea_Magistrale,Coniugato_a,0839221236,paola.bianchi68@gmail.com,27,15k-30k
3481,RLNMTT38M12F205,Matteo,Orlando,1938,8,12,M,Milano,20122,MI,Lombardia,Pensionato,Diploma,Vedovo_a,0145004898,matteo.orlando84@libero.it,6,<15k
538,PLMSVT94H07H501,Salvatore,Palumbo,1994,6,7,M,Roma,00136,RM,Lazio,Studente,Diploma,Separato_a,0253741831,salvatore.palumbo21@libero.it,9,<15k
5890,CSTPRZ03T47L219,Patrizia,Costa,2003,12,7,F,Torino,10122,TO,Piemonte,Operaio,Licenza_Media,Celibe_Nubile,0314271752,patrizia.costa24@libero.it,9,<15k
4979,SNTFNC88M14H501,Francesco,Santoro,1988,8,14,M,Roma,00118,RM,Lazio,Dirigente,Laurea_Triennale,Coniugato_a,0914553788,francesco.santoro67@libero.it,96,>50k
7147,LNEMSM03R20H501,Massimo,Leone,2003,10,20,M,Roma,00100,RM,Lazio,Studente,Laurea_Triennale,Coniugato_a,0349647229,massimo.leone87@gmail.com,5,<15k
3381,VTLMTT41M15H501,Matteo,Vitale,1941,8,15,M,Roma,00118,RM,Lazio,Pensionato,Licenza_Media,Divorziato_a,0634052094,matteo.vitale12@libero.it,21,15k-30k
2266,VTLMRA64R47F839,Maria,Vitale,1964,10,7,F,Napoli,80132,NA,Campania,Disoccupato,Licenza_Media,Coniugato_a,0321404304,maria.vitale2@gmail.com,14,<15k
1795,SRTRRT88P27F839,Roberto,Sartori,1988,9,27,M,Napoli,80122,NA,Campania,Disoccupato,Diploma,Coniugato_a,0815836035,roberto.sartori72@libero.it,10,<15k
1726,MRNGNN71E44F839,Giovanna,Marino,1971,5,4,F,Napoli,80121,NA,Campania,Pensionato,Diploma,Separato_a,0122777035,giovanna.marino85@libero.it,79,>50k
3135,BNCMRA97L59F839,Maria,Bianchi,1997,7,19,F,Napoli,80122,NA,Campania,Operaio,Diploma,Coniugato_a,0575929357,maria.bianchi86@libero.it,52,>50k
3082,VTLGPP05L12H501,Giuseppe,Vitale,2005,7,12,M,Roma,00100,RM,Lazio,Studente,Diploma,Celibe_Nubile,0204501815,giuseppe.vitale30@gmail.com,8,<15k
132,GLLSLV95H60H501,Silvia,Gallo,1995,6,20,F,Roma,00141,RM,Lazio,Disoccupato,Diploma,Coniugato_a,0673260398,silvia.gallo44@libero.it,11,<15k
1188,LMBLSN94D66L219,Alessandra,Lombardi,1994,4,26,F,Torino,10121,TO,Piemonte,Dirigente,Laurea_Triennale,Coniugato_a,0817114293,alessandra.lombardi42@gmail.com,40,30k-50k
6865,SRTDNL90A20H501,Daniele,Sartori,1990,1,20,M,Roma,00118,RM,Lazio,Dirigente,Laurea_Magistrale,Coniugato_a,0281060049,daniele.sartori25@libero.it,39,30k-50k
4058,GLLLRA81M63H501,Laura,Gallo,1981,8,23,F,Roma,00141,RM,Lazio,Dirigente,Diploma,Coniugato_a,0308597867,laura.gallo13@libero.it,76,>50k
554,PGNSRN42A46H501,Serena,Pagano,1942,1,6,F,Roma,00136,RM,Lazio,Pensionato,Diploma,Vedovo_a,0811915045,serena.pagano30@libero.it,24,15k-30k
5388,MSSCRL03B28F205,Carlo,Messina,2003,2,28,M,Milano,20125,MI,Lombardia,Operaio,Licenza_Media,Celibe_Nubile,0627563867,carlo.messina73@libero.it,25,15k-30k
2821,MRNDNL96R11F839,Daniele,Marino,1996,10,11,M,Napoli,80121,NA,Campania,Operaio,Licenza_Media,Coniugato_a,0638784746,daniele.marino65@libero.it,22,15k-30k
2885,MRTFPP54A06F205,Filippo,Martini,1954,1,6,M,Milano,20125,MI,Lombardia,Pensionato,Diploma,Coniugato_a,0561836987,filippo.martini35@gmail.com,20,15k-30k
736,MRNCLD73D22F205,Claudio,Marini,1973,4,22,M,Milano,20123,MI,Lombardia,Dirigente,Laurea_Magistrale,Coniugato_a,0377137217,claudio.marini37@gmail.com,108,>50k
2833,CRSFRC64E08L219,Federico,Caruso,1964,5,8,M,Torino,10123,TO,Piemonte,Operaio,Diploma,Separato_a,0311299831,federico.caruso54@gmail.com,6,<15k
3820,LNGLSE57E58F839,Elisa,Longo,1957,5,18,F,Napoli,80121,NA,Campania,Pensionato,Diploma,Coniugato_a,0659339451,elisa.longo22@libero.it,7,<15k
7144,LNEFBA46P08H501,Fabio,Leone,1946,9,8,M,Roma,00100,RM,Lazio,Pensionato,Laurea_Triennale,Divorziato_a,0721522514,fabio.leone8@libero.it,22,15k-30k
601,GLLRCR63B11F205,Riccardo,Gallo,1963,2,11,M,Milano,20124,MI,Lombardia,Operaio,Diploma,Coniugato_a,0338650199,riccardo.gallo15@gmail.com,17,15k-30k
2029,SLVFPP02M18F839,Filippo,Silvestri,2002,8,18,M,Napoli,80131,NA,Campania,Studente,Diploma,Celibe_Nubile,0715359958,filippo.silvestri86@libero.it,14,<15k
4292,CLMNNA68E56H703,Anna,Colombo,1968,5,16,F,Salerno,84123,SA,Campania,Dirigente,Laurea_Magistrale,Coniugato_a,0804781764,anna.colombo78@gmail.com,43,30k-50k
2138,CPPFNC91P19H501,Francesco,Coppola,1991,9,19,M,Roma,00100,RM,Lazio,Operaio,Licenza_Media,Coniugato_a,0923634063,francesco.coppola8@libero.it,45,30k-50k
1793,RCCFNC07M64F205,Francesca,Ricci,2007,8,24,F,Milano,20125,MI,Lombardia,Studente,Diploma,Celibe_Nubile,0325631283,francesca.ricci99@libero.it,23,15k-30k
6122,VTLNCL45C11F205,Nicola,Vitale,1945,3,11,M,Milano,20125,MI,Lombardia,Pensionato,Licenza_Media,Vedovo_a,0265394451,nicola.vitale90@libero.it,24,15k-30k
4059,LNEVCN86E16H501,Vincenzo,Leone,1986,5,16,M,Roma,00100,RM,Lazio,Operaio,Licenza_Media,Coniugato_a,0199212455,vincenzo.leone68@gmail.com,23,15k-30k
1672,MSSFRC84S52F839,Federica,Messina,1984,11,12,F,Napoli,80123,NA,Campania,Disoccupato,Licenza_Media,Coniugato_a,0391464935,federica.messina40@libero.it,5,<15k
3980,LMBGPP36P28F205,Giuseppe,Lombardi,1936,9,28,M,Milano,20125,MI,Lombardia,Pensionato,Diploma,Coniugato_a,0731923754,giuseppe.lombardi64@gmail.com,16,15k-30k
6550,FNTRRT89S01F839,Roberto,Fontana,1989,11,1,M,Napoli,80121,NA,Campania,Disoccupato,Diploma,Coniugato_a,0988922201,roberto.fontana74@libero.it,5,<15k
6733,CNTFRC40B26L219,Federico,Conti,1940,2,26,M,Torino,10124,TO,Piemonte,Pensionato,Licenza_Media,Vedovo_a,0988409430,federico.conti58@gmail.com,48,30k-50k
3437,CRSLCU95S46H703,Lucia,Caruso,1995,11,6,F,Salerno,84124,SA,Campania,Operaio,Diploma,Separato_a,0472211439,lucia.caruso33@libero.it,16,15k-30k
7165,SPSCST03R55F839,Cristina,Esposito,2003,10,15,F,Napoli,80123,NA,Campania,Disoccupato,Diploma,Celibe_Nubile,0582500232,cristina.esposito56@libero.it,8,<15k
6323,FNTDNL66B20F205,Daniele,Fontana,1966,2,20,M,Milano,20124,MI,Lombardia,Dirigente,Diploma,Divorziato_a,0801896414,daniele.fontana13@libero.it,120,>50k
5076,SNTRSO51B56L219,Rosa,Santoro,1951,2,16,F,Torino,10123,TO,Piemonte,Pensionato,Laurea_Triennale,Divorziato_a,0432948784,rosa.santoro52@libero.it,34,30k-50k
251,CLMLCU62R45F205,Lucia,Colombo,1962,10,5,F,Milano,20125,MI,Lombardia,Pensionato,Licenza_Media,Separato_a,0825898608,lucia.colombo23@libero.it,5,<15k
65,CPPFNC46H53H501,Francesca,Coppola,1946,6,13,F,Roma,00100,RM,Lazio,Pensionato,Laurea_Triennale,Vedovo_a,0704147873,francesca.coppola19@libero.it,39,30k-50k
318,GRDLSN69P27F205,Alessandro,Giordano,1969,9,27,M,Milano,20121,MI,Lombardia,Operaio,Diploma,Coniugato_a,0597206191,alessandro.giordano70@gmail.com,26,15k-30k
6187,MTASRG47H06H501,Sergio,Amato,1947,6,6,M,Roma,00118,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0555415083,sergio.amato60@libero.it,28,15k-30k
408,MRTGLI65R51F205,Giulia,Martinelli,1965,10,11,F,Milano,20123,MI,Lombardia,Dirigente,Laurea_Magistrale,Coniugato_a,0823503367,giulia.martinelli29@libero.it,73,>50k
2375,LNGNGL45C19L219,Angelo,Longo,1945,3,19,M,Torino,10124,TO,Piemonte,Pensionato,Diploma,Vedovo_a,0859473331,angelo.longo89@gmail.com,117,>50k
3439,CSTGLI95R42F205,Giulia,Costa,1995,10,2,F,Milano,20125,MI,Lombardia,Disoccupato,Laurea_Triennale,Celibe_Nubile,0412081082,giulia.costa28@gmail.com,13,<15k
733,CPPCLD94L05L219,Claudio,Coppola,1994,7,5,M,Torino,10125,TO,Piemonte,Studente,Laurea_Triennale,Coniugato_a,0874506007,claudio.coppola1@gmail.com,19,15k-30k
6549,MRTSFN48M05H703,Stefano,Martinelli,1948,8,5,M,Salerno,84121,SA,Campania,Pensionato,Licenza_Media,Coniugato_a,0492815038,stefano.martinelli7@libero.it,18,15k-30k
4951,FRRSLV99S64L219,Silvia,Ferrari,1999,11,24,F,Torino,10125,TO,Piemonte,Studente,Diploma,Coniugato_a,0592733502,silvia.ferrari8@gmail.com,10,<15k
61,RMNDNL43D20H501,Daniele,Romano,1943,4,20,M,Roma,00136,RM,Lazio,Pensionato,Licenza_Media,Coniugato_a,0584762473,daniele.romano64@libero.it,36,30k-50k
1979,PLLMTN62B52H501,Martina,Pellegrini,1962,2,12,F,Roma,00100,RM,Lazio,Pensionato,Licenza_Media,Coniugato_a,0522886122,martina.pellegrini14@gmail.com,18,15k-30k
5509,SNTLSN86A58H501,Alessandra,Santoro,1986,1,18,F,Roma,00121,RM,Lazio,Operaio,Licenza_Media,Separato_a,0664061890,alessandra.santoro41@gmail.com,33,30k-50k
2781,PGNNTN02R02F205,Antonio,Pagano,2002,10,2,M,Milano,20124,MI,Lombardia,Studente,Laurea_Triennale,Celibe_Nubile,0165538671,antonio.pagano24@gmail.com,6,<15k
2943,CPPSMN99C28F205,Simone,Coppola,1999,3,28,M,Milano,20122,MI,Lombardia,Operaio,Licenza_Media,Celibe_Nubile,0416867931,simone.coppola39@gmail.com,26,15k-30k
7211,DLCBRN60P17H703,Bruno,De Luca,1960,9,17,M,Salerno,84121,SA,Campania,Pensionato,Licenza_Media,Coniugato_a,0825137044,bruno.deluca66@libero.it,25,15k-30k
2080,VTLVCN04P17F839,Vincenzo,Vitale,2004,9,17,M,Napoli,80132,NA,Campania,Studente,Diploma,Celibe_Nubile,0429097605,vincenzo.vitale6@libero.it,13,<15k
4554,CNTNDR74C01F839,Andrea,Conti,1974,3,1,M,Napoli,80132,NA,Campania,Disoccupato,Licenza_Media,Divorziato_a,0168751481,andrea.conti54@libero.it,14,<15k
1703,FRRSMN92R10L219,Simone,Ferrari,1992,10,10,M,Torino,10123,TO,Piemonte,Disoccupato,Diploma,Coniugato_a,0411512844,simone.ferrari14@libero.it,14,<15k
4586,MRTCST52H57F839,Cristina,Moretti,1952,6,17,F,Napoli,80121,NA,Campania,Pensionato,Diploma,Divorziato_a,0209260676,cristina.moretti45@libero.it,18,15k-30k
1024,PLLFRC76C56H501,Federica,Pellegrini,1976,3,16,F,Roma,00118,RM,Lazio,Operaio,Licenza_Media,Coniugato_a,0792264739,federica.pellegrini15@gmail.com,27,15k-30k
5681,CRSNGL88D04F205,Angelo,Caruso,1988,4,4,M,Milano,20124,MI,Lombardia,Operaio,Licenza_Media,Celibe_Nubile,0398081954,angelo.caruso82@gmail.com,9,<15k
2110,CRSMRC98E17F205,Marco,Caruso,1998,5,17,M,Milano,20124,MI,Lombardia,Studente,Diploma,Coniugato_a,0911117640,marco.caruso16@libero.it,10,<15k
6880,FRRCLD70A51H501,Claudia,Ferrara,1970,1,11,F,Roma,00100,RM,Lazio,Dirigente,Laurea_Triennale,Coniugato_a,0408735269,claudia.ferrara54@gmail.com,56,>50k
3378,MRTNGL04A05H501,Angelo,Moretti,2004,1,5,M,Roma,00100,RM,Lazio,Studente,Diploma,Celibe_Nubile,0254888499,angelo.moretti73@gmail.com,8,<15k
3413,BRNFRC67C26F839,Federico,Bruno,1967,3,26,M,Napoli,80123,NA,Campania,Operaio,Licenza_Media,Coniugato_a,0723221546,federico.bruno62@gmail.com,28,15k-30k
319,SRTRSO68C56H501,Rosa,Sartori,1968,3,16,F,Roma,00118,RM,Lazio,Pensionato,Laurea_Triennale,Coniugato_a,0887878296,rosa.sartori65@gmail.com,28,15k-30k
2251,FNTVNT37D67H501,Valentina,Fontana,1937,4,27,F,Roma,00118,RM,Lazio,Pensionato,Diploma,Coniugato_a,0647905410,valentina.fontana22@gmail.com,35,30k-50k
996,GRDGRG83D20H501,Giorgio,Giordano,1983,4,20,M,Roma,00100,RM,Lazio,Operaio,Diploma,Coniugato_a,0836627692,giorgio.giordano72@libero.it,40,30k-50k
472,DLCCLD66S02F839,Claudio,De Luca,1966,11,2,M,Napoli,80121,NA,Campania,Pensionato,Licenza_Media,Coniugato_a,0456915060,claudio.deluca87@libero.it,24,15k-30k
2445,MNCMRC36L03H501,Marco,Mancini,1936,7,3,M,Roma,00100,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0528026757,marco.mancini24@libero.it,71,>50k
1790,MRNRRT72M09H501,Roberto,Marini,1972,8,9,M,Roma,00136,RM,Lazio,Operaio,Diploma,Divorziato_a,0484181994,roberto.marini23@gmail.com,29,15k-30k
4456,VLLLRA65C43F839,Laura,Villa,1965,3,3,F,Napoli,80121,NA,Campania,Disoccupato,Licenza_Media,Separato_a,0193509973,laura.villa93@libero.it,12,<15k
1671,FBBFRC00R07L219,Federico,Fabbri,2000,10,7,M,Torino,10125,TO,Piemonte,Studente,Laurea_Triennale,Coniugato_a,0385149849,federico.fabbri94@libero.it,11,<15k
5894,RSSGRG83C08F839,Giorgio,Rossi,1983,3,8,M,Napoli,80121,NA,Campania,Operaio,Diploma,Coniugato_a,0566067841,giorgio.rossi99@libero.it,26,15k-30k
5398,VLLMLE61C18F839,Emilio,Villa,1961,3,18,M,Napoli,80122,NA,Campania,Operaio,Diploma,Coniugato_a,0459393355,emilio.villa10@gmail.com,23,15k-30k
6053,BRBRRT58P16H501,Roberto,Barbieri,1958,9,16,M,Roma,00136,RM,Lazio,Pensionato,Licenza_Media,Coniugato_a,0139346786,roberto.barbieri36@gmail.com,23,15k-30k
5609,MSSNDR01B11F205,Andrea,Messina,2001,2,11,M,Milano,20124,MI,Lombardia,Disoccupato,Laurea_Triennale,Celibe_Nubile,0173069094,andrea.messina65@libero.it,8,<15k
4618,MRNCML80B43H501,Carmela,Marini,1980,2,3,F,Roma,00141,RM,Lazio,Disoccupato,Licenza_Media,Coniugato_a,0786143744,carmela.marini52@libero.it,26,15k-30k
625,GRCGNN38C61H703,Giovanna,Greco,1938,3,21,F,Salerno,84124,SA,Campania,Pensionato,Licenza_Media,Coniugato_a,0676541804,giovanna.greco49@libero.it,8,<15k
4740,GLLBRN90H02H501,Bruno,Gallo,1990,6,2,M,Roma,00118,RM,Lazio,Dirigente,Laurea_Triennale,Coniugato_a,0312721546,bruno.gallo75@libero.it,64,>50k
7082,SRRCNZ42D49L219,Cinzia,Serra,1942,4,9,F,Torino,10124,TO,Piemonte,Pensionato,Licenza_Media,Vedovo_a,0995698026,cinzia.serra12@gmail.com,41,30k-50k
5605,RCCGPP40M16L219,Giuseppe,Ricci,1940,8,16,M,Torino,10124,TO,Piemonte,Pensionato,Licenza_Media,Vedovo_a,0882900879,giuseppe.ricci57@libero.it,17,15k-30k
3305,NPLLSE81T56H501,Elisa,Napolitano,1981,12,16,F,Roma,00141,RM,Lazio,Operaio,Licenza_Media,Divorziato_a,0295961593,elisa.napolitano42@gmail.com,17,15k-30k
7343,MSSMRC57R20H501,Marco,Messina,1957,10,20,M,Roma,00121,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0447497053,marco.messina64@gmail.com,28,15k-30k
4672,MSSSMN68T25H703,Simone,Messina,1968,12,25,M,Salerno,84123,SA,Campania,Operaio,Licenza_Media,Coniugato_a,0799061998,simone.messina30@gmail.com,26,15k-30k
5230,DLCCNZ02P51L219,Cinzia,De Luca,2002,9,11,F,Torino,10125,TO,Piemonte,Studente,Laurea_Triennale,Celibe_Nubile,0394815165,cinzia.deluca97@gmail.com,10,<15k
6887,FNTNCL95B03F205,Nicola,Fontana,1995,2,3,M,Milano,20122,MI,Lombardia,Disoccupato,Diploma,Coniugato_a,0573167533,nicola.fontana76@gmail.com,7,<15k
7031,FRRCML71M57H703,Carmela,Ferrara,1971,8,17,F,Salerno,84121,SA,Campania,Pensionato,Licenza_Media,Coniugato_a,0449032734,carmela.ferrara69@gmail.com,24,15k-30k
3422,RSSPTR78P13F205,Pietro,Rossi,1978,9,13,M,Milano,20124,MI,Lombardia,Dirigente,Laurea_Triennale,Coniugato_a,0907125602,pietro.rossi79@gmail.com,43,30k-50k
1803,PLLCML85M50H501,Carmela,Pellegrini,1985,8,10,F,Roma,00121,RM,Lazio,Operaio,Diploma,Coniugato_a,0306524222,carmela.pellegrini9@gmail.com,20,15k-30k
1199,CSTCNZ74R66H501,Cinzia,Costa,1974,10,26,F,Roma,00118,RM,Lazio,Operaio,Licenza_Media,Divorziato_a,0602125213,cinzia.costa46@libero.it,27,15k-30k
4160,BNCGPP71M17H501,Giuseppe,Bianchi,1971,8,17,M,Roma,00118,RM,Lazio,Pensionato,Licenza_Media,Coniugato_a,0766500686,giuseppe.bianchi96@libero.it,33,30k-50k
6208,DLCCHR61T53H501,Chiara,De Luca,1961,12,13,F,Roma,00136,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0905183200,chiara.deluca49@libero.it,22,15k-30k
5666,FNTCLD00H12L219,Claudio,Fontana,2000,6,12,M,Torino,10125,TO,Piemonte,Studente,Laurea_Triennale,Separato_a,0379848234,claudio.fontana41@gmail.com,9,<15k
982,SLVLCU05D12F839,Luca,Silvestri,2005,4,12,M,Napoli,80122,NA,Campania,Studente,Laurea_Triennale,Celibe_Nubile,0954023601,luca.silvestri57@libero.it,7,<15k
393,PLLLRA92T68H501,Laura,Pellegrini,1992,12,28,F,Roma,00118,RM,Lazio,Disoccupato,Laurea_Triennale,Coniugato_a,0234247452,laura.pellegrini97@libero.it,10,<15k
6620,VTLSLV71H64F205,Silvia,Vitale,1971,6,24,F,Milano,20121,MI,Lombardia,Operaio,Licenza_Media,Separato_a,0953614838,silvia.vitale88@libero.it,27,15k-30k
2310,BRBMHL64T44H703,Michela,Barbieri,1964,12,4,F,Salerno,84121,SA,Campania,Pensionato,Diploma,Coniugato_a,0858426208,michela.barbieri84@libero.it,26,15k-30k
3203,PLMPRZ83B66F205,Patrizia,Palumbo,1983,2,26,F,Milano,20121,MI,Lombardia,Dirigente,Laurea_Magistrale,Coniugato_a,0677227577,patrizia.palumbo91@gmail.com,8,<15k
1731,CNTGRG95S03H703,Giorgio,Conti,1995,11,3,M,Salerno,84121,SA,Campania,Studente,Diploma,Coniugato_a,0157039133,giorgio.conti27@gmail.com,12,<15k
1732,MRNMTN95C54H703,Martina,Marino,1995,3,14,F,Salerno,84121,SA,Campania,Studente,Laurea_Triennale,Coniugato_a,0231553996,martina.marino33@libero.it,16,15k-30k
3126,RSSGLI52L57L219,Giulia,Rossi,1952,7,17,F,Torino,10122,TO,Piemonte,Pensionato,Licenza_Media,Divorziato_a,0942818322,giulia.rossi93@gmail.com,43,30k-50k
4354,CRSLSE91H51F205,Elisa,Caruso,1991,6,11,F,Milano,20121,MI,Lombardia,Operaio,Licenza_Media,Celibe_Nubile,0576730532,elisa.caruso83@gmail.com,23,15k-30k
7206,CNTSMN38D59H501,Simona,Conti,1938,4,19,F,Roma,00100,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0713348653,simona.conti9@gmail.com,26,15k-30k
4936,MRNNRC04T05H703,Enrico,Marini,2004,12,5,M,Salerno,84125,SA,Campania,Studente,Diploma,Coniugato_a,0703511315,enrico.marini59@gmail.com,11,<15k
2902,GRDNGL36C60H501,Angela,Giordano,1936,3,20,F,Roma,00121,RM,Lazio,Pensionato,Licenza_Media,Vedovo_a,0695895902,angela.giordano75@libero.it,37,30k-50k
7044,GRDSFO97T55F205,Sofia,Giordano,1997,12,15,F,Milano,20124,MI,Lombardia,Disoccupato,Diploma,Coniugato_a,0635810107,sofia.giordano2@gmail.com,11,<15k
37,MRNNDR58R02H501,Andrea,Marini,1958,10,2,M,Roma,00121,RM,Lazio,Pensionato,Diploma,Vedovo_a,0795841588,andrea.marini80@gmail.com,27,15k-30k
